ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL_INDV:CS202212150_54	WMB 00054 - CS202212150_54	0054 L6 IT CTX Glut_5	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5213		CS202212150_54		0054 L6 IT CTX Glut_5		WMB 00054			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110054			
PCL_INDV:CS202212150_55	WMB 00055 - CS202212150_55	0055 L5 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5214		CS202212150_55		0055 L5 IT CTX Glut_1		WMB 00055			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110055			
PCL_INDV:CS202212150_56	WMB 00056 - CS202212150_56	0056 L5 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5214		CS202212150_56		0056 L5 IT CTX Glut_1		WMB 00056			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110056			
PCL_INDV:CS202212150_57	WMB 00057 - CS202212150_57	0057 L5 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5214		CS202212150_57		0057 L5 IT CTX Glut_1		WMB 00057			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110057			
PCL_INDV:CS202212150_58	WMB 00058 - CS202212150_58	0058 L5 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5215		CS202212150_58		0058 L5 IT CTX Glut_2		WMB 00058			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110058			
PCL_INDV:CS202212150_59	WMB 00059 - CS202212150_59	0059 L5 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5215		CS202212150_59		0059 L5 IT CTX Glut_2		WMB 00059			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110059			
PCL_INDV:CS202212150_60	WMB 00060 - CS202212150_60	0060 L5 IT CTX Glut_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5215		CS202212150_60		0060 L5 IT CTX Glut_2		WMB 00060			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110060			
PCL_INDV:CS202212150_61	WMB 00061 - CS202212150_61	0061 L5 IT CTX Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5216		CS202212150_61		0061 L5 IT CTX Glut_3		WMB 00061			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110061			
PCL_INDV:CS202212150_62	WMB 00062 - CS202212150_62	0062 L5 IT CTX Glut_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5216		CS202212150_62		0062 L5 IT CTX Glut_3		WMB 00062			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110062			
PCL_INDV:CS202212150_63	WMB 00063 - CS202212150_63	0063 L5 IT CTX Glut_4	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5217		CS202212150_63		0063 L5 IT CTX Glut_4		WMB 00063			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110063			
PCL_INDV:CS202212150_64	WMB 00064 - CS202212150_64	0064 L5 IT CTX Glut_4	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5217		CS202212150_64		0064 L5 IT CTX Glut_4		WMB 00064			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110064			
PCL_INDV:CS202212150_65	WMB 00065 - CS202212150_65	0065 L5 IT CTX Glut_5	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_6127		CS202212150_65		0065 L5 IT CTX Glut_5		WMB 00065			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110065			
PCL_INDV:CS202212150_66	WMB 00066 - CS202212150_66	0066 L4/5 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5218		CS202212150_66		0066 L4/5 IT CTX Glut_1		WMB 00066			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110066			
PCL_INDV:CS202212150_67	WMB 00067 - CS202212150_67	0067 L4/5 IT CTX Glut_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202212150_5218		CS202212150_67		0067 L4/5 IT CTX Glut_1		WMB 00067			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110067			
