defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0110280	0280 CA1-ProS Glut_3											
http://purl.obolibrary.org/obo/PCL_0110281	0281 CA1-ProS Glut_3											
http://purl.obolibrary.org/obo/PCL_0110282	0282 CA1-ProS Glut_3											
http://purl.obolibrary.org/obo/PCL_0110283	0283 CA1-ProS Glut_3											
http://purl.obolibrary.org/obo/PCL_0110284	0284 CA1-ProS Glut_4											
http://purl.obolibrary.org/obo/PCL_0110285	0285 CA1-ProS Glut_4											
http://purl.obolibrary.org/obo/PCL_0110286	0286 CA1-ProS Glut_4											
http://purl.obolibrary.org/obo/PCL_0110287	0287 CA1-ProS Glut_4											
http://purl.obolibrary.org/obo/PCL_0110288	0288 CA1-ProS Glut_4											
http://purl.obolibrary.org/obo/PCL_0110289	0289 CA1-ProS Glut_5											
http://purl.obolibrary.org/obo/PCL_0110290	0290 CA1-ProS Glut_5											
http://purl.obolibrary.org/obo/PCL_0110291	0291 CA1-ProS Glut_5											
http://purl.obolibrary.org/obo/PCL_0110292	0292 CA1-ProS Glut_5											
http://purl.obolibrary.org/obo/PCL_0110293	0293 CA1-ProS Glut_6											
http://purl.obolibrary.org/obo/PCL_0110294	0294 CA1-ProS Glut_6											
http://purl.obolibrary.org/obo/PCL_0110295	0295 CA1-ProS Glut_6											
http://purl.obolibrary.org/obo/PCL_0110296	0296 CA3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110297	0297 CA3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110298	0298 CA3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110299	0299 CA3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110300	0300 CA3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110301	0301 CA3 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110302	0302 CA3 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110303	0303 CA3 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110304	0304 CA3 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110305	0305 CA3 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110306	0306 CA3 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110307	0307 CA3 Glut_3											
http://purl.obolibrary.org/obo/PCL_0110308	0308 CA3 Glut_3											
http://purl.obolibrary.org/obo/PCL_0110309	0309 CA3 Glut_3											
